,Day,Hour,Attempts,Checks_Lengths
442,24,10:19:00,1,[10]
443,24,10:42:00,1,[6]
444,24,11:38:00,2,"[6, 7]"
445,24,11:39:00,1,[5]
446,24,12:25:00,2,"[5, 7]"
447,24,12:52:00,1,[6]
448,24,12:57:00,3,"[7, 8, 6]"
449,24,13:00:00,1,[8]
450,24,13:40:00,1,[5]
451,25,09:36:00,1,[6]
452,25,11:25:00,2,"[8, 8]"
